region,t,t1,th_tt_bc,th_t1t1_bc,th_tt1_bc,th_t1t_bc
Central Aran economic region,2009,2010,0.4850077381861448,0.5336479974602328,0.543826546524268,0.4744587810474279
Daghlig Shirvan economic region,2009,2010,0.3131844003578929,0.6080569886512515,0.3545865923575528,0.5567288009850564
Eastern Zangazur economic region,2009,2010,0.3260765234673535,0.3371271589778711,0.3565378752725717,0.3043793546129856
Ganja-Dashkasan economic region,2009,2010,0.5620219828038748,0.5843126807092986,0.5919823716542034,0.5543227301516884
Gazakh-Tovuz economic region,2009,2010,0.4895597597078879,0.5751780357814192,0.5846976663616641,0.4789880500192549
Guba-Khachmaz economic region,2009,2010,0.4810198083708681,0.4733489577222176,0.501008323890834,0.4493592545699332
Karabakh economic region,2009,2010,0.5288670310436365,0.5276655420094162,0.535657192874506,0.5203366132940418
Lankaran-Astara economic region,2009,2010,0.6737173197772306,0.7279485902727976,0.3520304777683167,1.2529753053123351
Mil-Mughan economic region,2009,2010,0.5505470885445928,0.5635018735359969,0.575186335779594,0.5401949917951727
Nakhchivan Autonomous Republic,2009,2010,0.4792642167019486,0.4642077562229711,0.4814687193395601,0.4665295419449558
Shaki-Zagatala economic region,2009,2010,0.4885273056367005,0.4859620619738884,0.4963827469629862,0.4747844035700711
Shirvan-Salyan economic region,2009,2010,0.4749357891328138,0.4645624102929571,0.4711691307705898,0.4666219376813731
Absheron-Khizi economic region,2010,2011,0.5091454174110364,0.444379703435878,1.5575226887783762,0.5062303149856329
Central Aran economic region,2010,2011,0.5348750127737202,0.4450888579134242,0.5413387528234184,0.4395701402417494
Daghlig Shirvan economic region,2010,2011,0.5958889190347878,0.2732273445541769,0.523850827168872,0.2564324190711726
Eastern Zangazur economic region,2010,2011,0.3451455810379109,0.2831044325795981,0.3419977344827423,0.2832574583304795
Ganja-Dashkasan economic region,2010,2011,0.5844119184748642,0.494162872444349,0.6085492461389448,0.4751752829614348
Gazakh-Tovuz economic region,2010,2011,0.5786756736171206,0.4904520884129415,0.6122624307102972,0.4627586467834946
Guba-Khachmaz economic region,2010,2011,0.4908530073404873,0.3894591128790967,0.4820178768684888,0.3876118399530558
Karabakh economic region,2010,2011,0.5287494585991848,0.4407976231292078,0.5355249119004231,0.4351177983768221
Lankaran-Astara economic region,2010,2011,0.6953895360974818,0.2729946053292438,0.7973715203342788,0.2092776823505654
Mil-Mughan economic region,2010,2011,0.5650025518518622,0.4760352158241074,0.5772572901209749,0.463516701299125
Nakhchivan Autonomous Republic,2010,2011,0.4821375192673847,0.3733109619436014,0.4798367677336763,0.3740212292488234
Shaki-Zagatala economic region,2010,2011,0.4957898886562246,0.3884281089681751,0.4971662276883333,0.3867393877174937
Shirvan-Salyan economic region,2010,2011,0.4649955313885108,0.4047516981402518,0.4925479978157017,0.3809119959707621
Absheron-Khizi economic region,2011,2012,0.3693776372785311,0.4453703522659191,0.563384848455903,0.9621835952886172
Central Aran economic region,2011,2012,0.4411464872805235,0.4933554511179006,0.4702205341365194,0.4627834875102663
Daghlig Shirvan economic region,2011,2012,0.2668836086739139,0.3981391859602199,0.2415137512740955,0.3214025729539269
