region,region_type,year,cost_price_per_centner_milk_enterprises_manat,cost_price_per_centner_milk_private_manat,cows_dairy_buffaloes_stock_heads,cows_heads,fodder_sown_area_ha,labour_hours_per_centner_milk_enterprises,milk_production_tons,profitability_milk_enterprises_pct,profitability_milk_private_pct,selling_price_per_centner_milk_enterprises_manat,selling_price_per_centner_milk_private_manat,cost_milk,profitability,sfa_te_translog
Absheron district,district,2016,29.51,20.64,13461.0,13461.0,114.0,30.0,49389.0,1.1,9.5,42.47,39.21,29.51,1.1,0.9267719667227697
Absheron district,district,2017,26.89,21.69,13357.0,13357.0,247.0,31.3,48986.0,0.5,9.4,63.55,39.15,26.89,0.5,0.9264188821071794
Absheron district,district,2018,25.82,20.92,13149.0,13149.0,167.0,30.7,52426.0,0.9,9.5,65.81,39.1,25.82,0.9,0.9312513426545586
Absheron district,district,2019,18.49,23.46,13184.0,13184.0,135.0,30.1,49501.0,11.5,9.7,43.93,40.0,18.49,11.5,0.9280808861901424
Absheron district,district,2020,20.18,45.35,13155.0,13155.0,187.3,26.2,49719.0,4.9,9.8,56.72,40.04,20.18,4.9,0.9283172741851066
Absheron district,district,2021,89.04,40.94,13151.0,13151.0,298.3,21.1,50370.0,6.8,10.2,74.77,48.35,89.04,6.8,0.9288020728619112
Absheron district,district,2022,76.13,43.36,14030.0,14030.0,159.8,17.1,51186.0,29.5,8.6,89.58,49.02,76.13,29.5,0.926218132070622
Absheron district,district,2023,84.9,43.36,11296.0,11296.0,179.1,20.5,54440.0,49.6,8.6,50.32,49.02,84.9,49.6,0.9402743413728689
Absheron district,district,2024,53.37,43.36,11486.0,11486.0,165.1,11.4,41695.0,57.9,8.6,31.78,49.46,53.37,57.9,0.926416155329648
Agdash district,district,2000,,,17338.0,11480.0,8419.0,,18468.0,,,,,,,0.8214418238064086
Agdash district,district,2001,,,17649.0,11673.0,10592.0,,17781.0,,,,,,,0.8081315549679904
Agdash district,district,2002,,,20492.0,13498.0,11444.0,,19566.0,,,,,,,0.795911619786788
Agdash district,district,2003,,,21592.0,14165.0,11886.0,,20478.0,,,,,,,0.794933413994293
Agdash district,district,2004,,,28257.0,18022.0,12227.0,,23834.0,,,,,,,0.772647456470831
Agdash district,district,2005,19.2,15.06,29979.0,19123.0,11802.0,47.6,26912.0,46.0,56.9,27.73,26.67,19.2,46.0,0.7886104308085803
Agdash district,district,2006,,,31295.0,19929.0,12424.0,,28235.0,,,,,,,0.7899400197137503
Agdash district,district,2007,,,32821.0,20800.0,8916.0,,29335.0,,,,,,,0.7911998471568266
Agdash district,district,2008,12.07,12.81,33746.0,22492.0,11035.0,47.9,30285.0,113.6,130.0,25.87,30.0,12.07,113.6,0.7784691362688341
Agdash district,district,2009,12.02,10.71,34312.0,22828.0,12690.0,48.0,32417.0,80.0,88.9,19.23,28.33,12.02,80.0,0.7906953807111136
Agdash district,district,2010,15.72,24.56,34629.0,23056.0,13728.0,48.0,33297.0,115.0,16.7,34.4,29.2,15.72,115.0,0.7942162090053999
Agdash district,district,2011,22.91,25.0,35179.0,23541.0,12718.0,48.0,34323.0,51.5,25.0,35.1,29.4,22.91,51.5,0.7970514469956348
Agdash district,district,2012,20.47,25.0,35727.0,23937.0,12398.0,46.9,38208.0,71.6,12.5,34.98,30.0,20.47,71.6,0.8174162710098034
Agdash district,district,2013,19.8,,36340.0,24528.0,11534.0,48.0,39789.0,76.2,,35.0,,19.8,76.2,0.8212744118026711
Agdash district,district,2014,20.99,,36886.0,24755.0,12872.0,48.0,42691.0,67.9,,35.24,,20.99,67.9,0.832841013998632
Agdash district,district,2015,21.0,,37077.0,24864.0,12301.0,48.0,43761.0,,,,,21.0,,0.8369283882969651
Agdash district,district,2016,18.03,,35733.0,24275.0,8808.0,48.0,55998.0,94.1,,35.0,,18.03,94.1,0.8798594097027365
Agdash district,district,2017,64.91,,34334.0,23862.0,7742.0,48.0,53344.0,,,63.47,,64.91,,0.8762532397061333
Agdash district,district,2018,61.99,,31727.0,22314.0,7235.0,48.0,52656.0,,,45.0,,61.99,,0.8831591652700529
Agdash district,district,2019,96.94,,32134.0,23285.0,8997.0,48.0,58027.0,,,80.0,,96.94,,0.8888651535840193
Agdash district,district,2020,30.0,,32509.0,24291.0,9449.0,48.0,59319.0,83.63,,55.0,,30.0,83.63,0.8864743839831758
Agdash district,district,2021,31.0,,31997.0,24476.0,9931.0,48.0,60772.0,93.5,,60.0,,31.0,93.5,0.8882278497786593
Agdash district,district,2022,55.0,,32866.0,26116.0,10572.0,48.0,63608.0,,,65.0,,55.0,,0.8859476817456
Agdash district,district,2023,75.41,,31196.0,24920.0,10346.5,48.0,61865.0,,,76.31,,75.41,,0.8881155014313584
Agdash district,district,2024,60.59,,29982.0,23996.0,10109.8,48.0,59824.0,15.8,,72.52,,60.59,15.8,0.8886037911696694
Aghdam district,district,2000,,,10977.0,10263.0,560.0,,10994.0,,,,,,,0.7378061134628301
Aghdam district,district,2001,,,11231.0,10689.0,931.0,,12267.0,,,,,,,0.7540931277600047
Aghdam district,district,2002,,,12629.0,11898.0,2038.0,,12562.0,,,,,,,0.7246525922493056
Aghdam district,district,2003,,,13077.0,12481.0,3043.0,,16141.0,,,,,,,0.777557697501713
Aghdam district,district,2004,,,13533.0,12937.0,3281.0,,20258.0,,,,,,,0.8210574169749044
Aghdam district,district,2005,,,13991.0,13499.0,3795.0,,21941.0,,,,,,,0.8276917436122982
Aghdam district,district,2006,,,14240.0,13810.0,4943.0,,22930.0,,,,,,,0.8304300091787028
Aghdam district,district,2007,,,14292.0,13865.0,6369.0,,23189.0,,,,,,,0.8304521392592783
Aghdam district,district,2008,18.07,,14347.0,13901.0,6447.0,48.2,25649.0,22.2,,22.0,,18.07,22.2,0.8482709193542002
Aghdam district,district,2009,18.76,,14856.0,14515.0,6813.0,48.0,26726.0,44.7,,27.23,,18.76,44.7,0.8475782025314416
Aghdam district,district,2010,15.27,,14930.0,14528.0,7325.0,48.0,26856.0,29.4,,20.0,,15.27,29.4,0.8478948564212478
Aghdam district,district,2011,,,15200.0,14904.0,8069.0,,27100.0,,,,,,,0.8445184249337656
Aghdam district,district,2012,31.3,,16850.0,16527.0,7645.0,,27605.0,,,,,31.3,,0.8289683438863217
Aghdam district,district,2013,35.0,,17757.0,17389.0,8287.0,47.9,31362.0,28.6,,45.0,,35.0,28.6,0.8428703737483139
Aghdam district,district,2014,37.0,,18135.0,17879.0,8742.0,48.0,32576.0,21.6,,45.0,,37.0,21.6,0.8444052280641623
Aghdam district,district,2015,37.03,,18400.0,18295.0,8882.0,47.0,33312.0,28.6,,45.0,,37.03,28.6,0.8442178549109803
Aghdam district,district,2016,44.55,,18691.0,18596.0,8314.0,59.1,34168.0,22.2,,55.0,,44.55,22.2,0.8461290042998354
Aghdam district,district,2017,50.13,,18844.0,18751.0,7561.0,58.5,34612.0,22.3,,55.0,,50.13,22.3,0.8473775492329804
Aghdam district,district,2018,72.78,,19147.0,19059.0,8185.0,8.6,35866.0,22.9,,60.06,,72.78,22.9,0.8502860861265764
Aghdam district,district,2019,37.15,,19165.0,19079.0,8409.0,8.4,37873.0,71.7,,60.6,,37.15,71.7,0.8587847475975832
Aghdam district,district,2020,12.13,,19577.0,19484.0,10002.2,2.1,38843.0,31.5,,65.16,,12.13,31.5,0.8587060896893651
Aghdam district,district,2021,6.31,,20124.0,20028.0,10440.1,3.4,40211.0,19.4,,47.76,,6.31,19.4,0.8596388605097055
Aghdam district,district,2022,7.59,,20707.0,20612.0,10476.3,4.1,41823.0,48.2,,66.7,,7.59,48.2,0.8612732793604221
Aghdam district,district,2023,23.18,,21392.0,21302.0,11232.0,11.2,43727.0,,,,,23.18,,0.8627663705536339
Aghdam district,district,2024,79.01,,21931.0,21870.0,9755.9,29.1,45480.0,,,,,79.01,,0.8653087190388581
Aghdara district,district,2024,36.61,,2219.0,2093.0,379.7,48.8,137.0,50.3,,55.03,,36.61,50.3,0.18341674199484032
Aghjabadi district,district,2000,,,33519.0,28218.0,12983.0,,40734.0,,,,,,,0.7953095169334629
Aghjabadi district,district,2001,,,34930.0,29174.0,14257.0,,46137.0,,,,,,,0.8154024769174943
Aghjabadi district,district,2002,,,35667.0,29874.0,18891.0,,45103.0,,,,,,,0.8035821566188649
Aghjabadi district,district,2003,,,36043.0,30202.0,19199.0,,44300.0,,,,,,,0.7968728992414439
Aghjabadi district,district,2004,,,38754.0,32651.0,19409.0,,47589.0,,,,,,,0.7958113399584353
Aghjabadi district,district,2005,,,39179.0,32948.0,19399.0,,47750.0,,,,,,,0.794534757453739
Aghjabadi district,district,2006,,,39784.0,33536.0,20360.0,,47847.0,,,,,,,0.790588874545539
Aghjabadi district,district,2007,,,39878.0,33450.0,25057.0,,48014.0,,,,,,,0.7905838133400154
Aghjabadi district,district,2008,15.63,,39992.0,33610.0,29854.0,46.9,48040.0,40.0,,21.88,,15.63,40.0,0.7883223411334607
Aghjabadi district,district,2009,14.77,,40093.0,34187.0,26417.0,48.0,48072.0,25.0,,40.0,,14.77,25.0,0.7853522786096829
Aghjabadi district,district,2010,32.19,,40107.0,34220.0,27838.0,48.0,48342.0,,,,,32.19,,0.7861178593427731
Aghjabadi district,district,2011,14.44,,40315.0,34777.0,28663.0,48.0,48526.0,,,,,14.44,,0.7829813290734106
Aghjabadi district,district,2012,19.93,,42347.0,36664.0,28043.0,48.0,50236.0,33.3,,40.0,,19.93,33.3,0.7790405211841499
Aghjabadi district,district,2013,23.0,,42461.0,36705.0,27446.0,48.0,57915.0,30.4,,59.9,,23.0,30.4,0.8123696023489443
Aghjabadi district,district,2014,30.59,,42797.0,37020.0,29623.0,48.0,66545.0,25.7,,46.46,,30.59,25.7,0.8380959746775154
Aghjabadi district,district,2015,26.17,,42955.0,37158.0,33025.0,48.0,89088.0,40.1,,50.98,,26.17,40.1,0.8813489936705569
Aghjabadi district,district,2016,26.07,,44251.0,38429.0,29176.0,48.0,101287.0,40.1,,50.98,,26.07,40.1,0.892728511283787
Aghjabadi district,district,2017,52.0,,44551.0,38680.0,23106.0,48.0,101596.0,40.4,,45.1,,52.0,40.4,0.893091426368103
Aghjabadi district,district,2018,52.05,,44612.0,38463.0,19821.0,48.0,101710.0,40.5,,45.02,,52.05,40.5,0.8942165540955576
Aghjabadi district,district,2019,34.27,,42513.0,38572.0,22071.0,48.0,123886.0,27.5,,45.02,,34.27,27.5,0.9115869247884709
Aghjabadi district,district,2020,30.85,,41702.0,38251.0,23783.9,5.4,126642.0,44.5,,44.97,,30.85,44.5,0.9137479777633383
Aghjabadi district,district,2021,31.11,,41658.0,38467.0,24753.5,4.9,127030.0,42.6,,46.59,,31.11,42.6,0.9134828236715298
Aghjabadi district,district,2022,31.12,,45366.0,42610.0,24966.0,4.9,138810.0,38.9,,21.53,,31.12,38.9,0.9127230292308147
Aghjabadi district,district,2023,35.95,,49112.0,46658.0,17506.2,4.8,155630.0,39.3,,49.19,,35.95,39.3,0.9154706167224271
Aghjabadi district,district,2024,35.97,,52696.0,50276.0,20516.3,5.3,167207.0,40.8,,41.98,,35.97,40.8,0.9151985173303595
Aghstafa district,district,2000,,,8824.0,7051.0,703.0,,8940.0,,,,,,,0.7862485917733057
Aghstafa district,district,2001,,,8982.0,7160.0,719.0,,9537.0,,,,,,,0.7977630172731129
Aghstafa district,district,2002,,,9521.0,7639.0,662.0,,10303.0,,,,,,,0.8003131156568892
Aghstafa district,district,2003,,,9918.0,7930.0,771.0,,9611.0,,,,,,,0.772917808483605
Aghstafa district,district,2004,,,10232.0,8181.0,857.0,,10408.0,,,,,,,0.7842745776499769
Aghstafa district,district,2005,8.59,,10421.0,8326.0,900.0,49.8,10512.0,23.1,,10.58,,8.59,23.1,0.7819216380264102
Aghstafa district,district,2006,,,10559.0,8401.0,1197.0,,10852.0,,,,,,,0.7859237967007631
Aghstafa district,district,2007,,,10700.0,8495.0,3992.0,,10902.0,,,,,,,0.7761585629613361
Aghstafa district,district,2008,18.75,,11068.0,8833.0,5503.0,50.0,11047.0,,,50.0,,18.75,,0.7665840177631433
Aghstafa district,district,2009,30.0,,11340.0,9034.0,6685.0,48.0,11072.0,0.1,,37.5,,30.0,0.1,0.7593488415305873
Aghstafa district,district,2010,48.85,,11427.0,9153.0,7057.0,46.5,13644.0,400.0,,50.0,,48.85,400.0,0.8072480873247013
Aghstafa district,district,2011,25.0,,11543.0,9276.0,6097.0,48.0,13862.0,52.9,,51.0,,25.0,52.9,0.8087805909357892
Aghstafa district,district,2012,19.8,,11627.0,9369.0,5536.0,48.0,14863.0,121.7,,67.11,,19.8,121.7,0.8221000149233214
Aghstafa district,district,2013,29.64,,11665.0,9415.0,6920.0,48.0,16092.0,74.4,,60.0,,29.64,74.4,0.8353198333521509
Aghstafa district,district,2014,21.52,,11734.0,9476.0,5341.0,48.6,16334.0,62.3,,60.0,,21.52,62.3,0.8383865206075723
Aghstafa district,district,2015,26.19,,11796.0,9601.0,6455.0,47.6,16642.0,51.8,,60.0,,26.19,51.8,0.8382631128356837
Aghstafa district,district,2016,23.64,,11840.0,9606.0,6088.0,47.3,16985.0,32.7,,80.0,,23.64,32.7,0.8421997754108247
Aghstafa district,district,2017,29.17,,11881.0,9642.0,5157.0,45.8,17112.0,53.6,,80.0,,29.17,53.6,0.8437556351749199
Aghstafa district,district,2018,68.18,,11907.0,9669.0,5487.0,6.8,17170.0,44.2,,52.27,,68.18,44.2,0.8435115825971222
Aghstafa district,district,2019,27.78,,11938.0,9696.0,5362.0,16.7,17245.0,80.0,,50.0,,27.78,80.0,0.8439021693185509
Aghstafa district,district,2020,35.96,,11954.0,9712.0,5214.0,7.1,17317.0,122.4,,80.0,,35.96,122.4,0.8444885479352253
Aghstafa district,district,2021,7.4,,11965.0,9717.0,5058.0,54.4,17370.0,75.0,,80.0,,7.4,75.0,0.8450928711852144
Aghstafa district,district,2022,14.46,,12018.0,9763.0,4730.5,54.4,17621.0,75.0,,80.0,,14.46,75.0,0.8470893617052445
Aghstafa district,district,2023,15.57,,12303.0,10137.0,4214.6,54.4,18077.0,118.8,,100.0,,15.57,118.8,0.8454344125222061
Aghstafa district,district,2024,39.49,,12159.0,10766.0,4543.0,54.4,18154.0,108.2,,100.0,,39.49,108.2,0.8346435888856454
Aghsu district,district,2000,,,16817.0,12441.0,124.0,,15115.0,,,,,,,0.7746339563118566
Aghsu district,district,2004,,,17627.0,13059.0,2.0,,21948.0,,,,,,,0.8399779362664279
Aghsu district,district,2005,11.74,12.44,17731.0,13271.0,1520.0,51.5,22724.0,70.4,,20.0,,11.74,70.4,0.8415963507101475
Aghsu district,district,2006,,,17877.0,13453.0,1975.0,,23261.0,,,,,,,0.8422815107527302
Aghsu district,district,2007,,,17967.0,13647.0,617.0,,23302.0,,,,,,,0.8438404014060766
Aghsu district,district,2008,25.4,16.35,18368.0,14015.0,592.0,46.0,23347.0,87.5,100.0,56.6,40.0,25.4,87.5,0.8393844447750064
Aghsu district,district,2009,22.1,21.56,18523.0,14262.0,875.0,48.0,23396.0,33.3,68.2,30.0,40.0,22.1,33.3,0.8353079197964928
Aghsu district,district,2010,22.5,18.85,18654.0,14506.0,941.0,48.0,24177.0,37.5,175.0,30.6,51.2,22.5,37.5,0.8379529805229331
Aghsu district,district,2011,,22.09,18719.0,14736.0,1027.0,,25019.0,,95.2,,54.0,22.09,95.2,0.8409813120164089
Aghsu district,district,2012,,28.55,18764.0,14864.0,790.0,,25545.0,,,,98.8,28.55,,0.843894135729776
Aghsu district,district,2013,,29.76,18821.0,15010.0,739.0,,26979.0,,237.5,,100.0,29.76,237.5,0.851692173594284
Aghsu district,district,2014,,30.26,18840.0,15184.0,870.0,,27892.0,,222.7,,96.81,30.26,222.7,0.8547760553225138
Aghsu district,district,2015,,30.18,18867.0,15341.0,1294.0,,29419.0,,173.8,,69.91,30.18,173.8,0.8604117872459969
Aghsu district,district,2016,,30.24,18901.0,15430.0,1038.0,,29654.0,,145.8,,80.0,30.24,145.8,0.8613263613758902
Aghsu district,district,2017,,30.26,18368.0,15534.0,2302.0,,30010.0,,167.0,,80.11,30.26,167.0,0.859726662824775
Aghsu district,district,2018,,,18421.0,15863.0,1282.0,,30165.0,,,,,,,0.8590424300606725
Aghsu district,district,2019,,,18453.0,16126.0,1066.0,,30354.0,,,,,,,0.8579108495490075
Aghsu district,district,2020,63.19,,18622.0,16510.0,842.6,19.2,31187.0,4.5,,66.0,,63.19,4.5,0.8589844340340134
Aghsu district,district,2021,70.77,39.42,18895.0,16857.0,886.2,32.3,31531.0,7.0,59.0,75.69,60.0,70.77,7.0,0.8572595262641952
Aghsu district,district,2022,74.44,41.42,18906.0,16880.0,980.8,32.3,31120.0,5.9,44.8,78.82,60.0,74.44,5.9,0.854689593418611
Aghsu district,district,2023,76.93,41.42,18926.0,17012.0,846.4,3.8,31765.0,0.9,45.0,77.65,60.07,76.93,0.9,0.8570654404487377
Aghsu district,district,2024,76.93,41.44,18645.0,16489.0,959.4,3.0,32260.0,4.0,45.1,79.99,60.12,76.93,4.0,0.8639968439990576
Astara district,district,2002,,,12780.0,12426.0,3.0,,13324.0,,,,,,,0.7361600923692618
Astara district,district,2003,,,14861.0,14493.0,15.0,,14131.0,,,,,,,0.7103952547232778
Astara district,district,2004,,,18396.0,18003.0,12.0,,15215.0,,,,,,,0.6620090771034955
Astara district,district,2007,,,21882.0,21411.0,308.0,,17918.0,,,,,,,0.6583705454524044
Astara district,district,2008,22.15,18.0,22521.0,22049.0,395.0,41.5,18620.0,3.3,0.2,35.34,18.03,22.15,3.3,0.6604180437321279
Astara district,district,2009,21.53,17.22,22298.0,21793.0,675.0,48.0,19365.0,1.2,2.6,30.39,20.0,21.53,1.2,0.674664905061107
Astara district,district,2010,12.38,15.01,22374.0,22027.0,997.0,48.2,21108.0,4.3,4.3,23.2,21.1,12.38,4.3,0.6964049951198633
Astara district,district,2011,14.94,16.67,22233.0,22011.0,906.0,48.0,21578.0,1.3,7.7,30.3,22.5,14.94,1.3,0.7037447948374753
Astara district,district,2012,34.95,19.56,22238.0,22035.0,1005.0,48.0,29863.0,-2.5,1.9,37.12,30.6,34.95,-2.5,0.7924797117965969
Astara district,district,2013,14.27,25.43,22277.0,22067.0,1142.0,47.4,29925.0,0.6,1.7,50.1,23.5,14.27,0.6,0.7921833744045677
Astara district,district,2014,31.13,20.55,22300.0,22084.0,1111.0,48.0,30010.0,14.9,4.7,40.0,41.04,31.13,14.9,0.7927734386494538
Astara district,district,2015,26.45,20.02,22329.0,22095.0,1124.0,48.1,30126.0,0.2,3.0,40.0,39.72,26.45,0.2,0.7935332952883932
Astara district,district,2016,32.69,29.0,22331.0,22080.0,1303.0,47.3,30166.0,10.7,16.4,50.0,42.5,32.69,10.7,0.7934786827774899
Astara district,district,2017,32.37,28.3,20079.0,19768.0,1132.0,47.2,30186.0,7.4,14.8,30.0,42.17,32.37,7.4,0.8190702803829327
Astara district,district,2018,32.39,,20015.0,19769.0,1332.0,43.1,27164.0,20.0,,30.0,,32.39,20.0,0.7949857128705925
Astara district,district,2019,28.24,,20005.0,19760.0,1336.0,27.6,27338.0,22.1,,32.82,,28.24,22.1,0.7965876700425802
Astara district,district,2020,33.07,,19866.0,19602.0,1319.2,22.7,27352.0,24.2,,43.32,,33.07,24.2,0.7986532825983688
Astara district,district,2021,32.62,,19993.0,19785.0,1349.4,23.0,27626.0,21.1,,41.1,,32.62,21.1,0.7986993996196082
Astara district,district,2022,32.16,,19819.0,19601.0,1307.8,23.2,27896.0,22.5,,41.08,,32.16,22.5,0.8032287511787177
Astara district,district,2023,33.5,,18254.0,18090.0,1353.3,22.8,28175.0,21.6,,43.79,,33.5,21.6,0.8227704800964916
Astara district,district,2024,37.14,,18072.0,17888.0,1373.6,20.6,25966.0,19.7,,48.29,,37.14,19.7,0.8077375338953445
Babak district,district,2000,,,8572.0,7654.0,2179.0,,11680.0,,,,,,,0.8210583225685524
Babak district,district,2001,,,8630.0,7730.0,2396.0,,10640.0,,,,,,,0.797715383690489
Babak district,district,2002,,,8282.0,7184.0,2056.0,,11190.0,,,,,,,0.8260709997716308
Babak district,district,2003,,,7593.0,6762.0,1305.0,,9810.0,,,,,,,0.8144046361799557
Babak district,district,2004,,,7687.0,7058.0,1317.0,,10352.0,,,,,,,0.8162565810159316
Babak district,district,2005,,,7916.0,7278.0,1365.0,,10594.0,,,,,,,0.8141471199308108
Babak district,district,2006,,,8408.0,7830.0,1322.0,,11128.0,,,,,,,0.8084008260683588
Babak district,district,2007,,,8453.0,7916.0,1253.0,,11573.0,,,,,,,0.8147388710779394
Babak district,district,2008,,,7341.0,6916.0,1257.0,,11872.0,,,,,,,0.8468508540229498
Babak district,district,2009,,,7502.0,7115.0,1153.0,,11398.0,,,,,,,0.8345193172440727
Babak district,district,2010,,,7687.0,7298.0,1018.0,,11795.0,,,,,,,0.8365077075862049
Babak district,district,2011,,,7870.0,7466.0,1024.0,,12011.0,,,,,,,0.8354204250420771
Babak district,district,2012,,,7975.0,7558.0,1510.0,,12261.0,,,,,,,0.8351195252680814
Babak district,district,2013,,,8060.0,7638.0,1180.0,,12268.0,,,,,,,0.8342959894408432
Babak district,district,2014,,,8154.0,7727.0,1167.0,,12298.0,,,,,,,0.8325078658649432
Babak district,district,2015,,,8257.0,7823.0,1303.0,,12504.0,,,,,,,0.8327171495715306
Babak district,district,2016,,,8355.0,7908.0,2448.0,,12667.0,,,,,,,0.8298860214498059
Babak district,district,2017,,,8654.0,7995.0,1255.0,,12874.0,,,,,,,0.8341226665081642
Babak district,district,2018,,,8756.0,8085.0,1134.0,,13062.0,,,,,,,0.8351042106078961
Babak district,district,2019,,,8879.0,8174.0,1124.0,,13336.0,,,,,,,0.8368888774632026
Babak district,district,2020,,,9021.0,8275.0,1107.6,,13621.0,,,,,,,0.8384916522113841
Babak district,district,2021,,,9127.0,8365.0,1607.0,,13852.0,,,,,,,0.8378856472851055
Babak district,district,2022,,,9246.0,8475.0,1386.0,,14087.0,,,,,,,0.8391427515228791
Babak district,district,2023,,,5361.0,5179.0,1541.0,,9777.0,,,,,,,0.8635976410057036
Babak district,district,2024,,,5230.0,5073.0,1618.2,,9897.0,,,,,,,0.8683332166761384
Balakan district,district,2000,,,16126.0,12947.0,6952.0,,14832.0,,,,,,,0.7384210058740188
Balakan district,district,2001,,,16277.0,13012.0,287.0,,13045.0,,,,,,,0.7184957023065708
Balakan district,district,2002,,,16354.0,13173.0,587.0,,14919.0,,,,,,,0.750748013440389
Balakan district,district,2003,,,16559.0,13263.0,841.0,,13597.0,,,,,,,0.720416913992057
Balakan district,district,2004,,,16741.0,13132.0,972.0,,13900.0,,,,,,,0.7291378464337938
Balakan district,district,2005,26.23,,16976.0,13458.0,935.0,46.4,13964.0,1.4,,30.27,,26.23,1.4,0.7233071148540114
Balakan district,district,2006,,,17294.0,13769.0,1183.0,,14040.0,,,,,,,0.7166944762251622
Balakan district,district,2007,,,17331.0,13946.0,1327.0,,14086.0,,,,,,,0.7131060181056375
Balakan district,district,2008,24.16,,17368.0,13925.0,1769.0,42.0,14107.0,32.1,,46.19,,24.16,32.1,0.7122604498850374
Balakan district,district,2009,26.99,,17525.0,14153.0,2776.0,47.0,14115.0,7.4,,41.16,,26.99,7.4,0.7043902857885254
Balakan district,district,2010,26.98,,17513.0,14289.0,3416.0,47.0,15625.0,48.7,,55.2,,26.98,48.7,0.7302359640394758
Balakan district,district,2011,26.99,,18245.0,15107.0,3214.0,47.2,15656.0,35.7,,51.1,,26.99,35.7,0.7146171480204729
Balakan district,district,2012,38.75,,18256.0,15272.0,2312.0,47.7,16420.0,22.8,,54.03,,38.75,22.8,0.7276916974183123
Balakan district,district,2013,29.26,,18341.0,15485.0,2070.0,47.9,18865.0,74.7,,49.8,,29.26,74.7,0.7633328594728876
Balakan district,district,2014,27.43,,18363.0,15581.0,2402.0,47.9,19996.0,90.8,,57.09,,27.43,90.8,0.7760761173785785
Balakan district,district,2015,28.32,,18443.0,15648.0,2864.0,48.0,20556.0,76.6,,50.01,,28.32,76.6,0.780968045267823
Balakan district,district,2016,29.12,,17827.0,15607.0,3014.0,47.1,20654.0,61.6,,47.07,,29.12,61.6,0.7825264284848346
Balakan district,district,2017,28.68,,17845.0,15766.0,3085.0,48.0,20784.0,91.3,,60.0,,28.68,91.3,0.7813946979498041
Balakan district,district,2018,27.96,,17697.0,15808.0,2800.0,47.0,21065.0,115.0,,60.0,,27.96,115.0,0.7846269195670275
Balakan district,district,2019,27.0,,18104.0,16300.0,2685.0,47.0,21158.0,92.0,,62.16,,27.0,92.0,0.778197237491601
Balakan district,district,2020,27.0,,18214.0,16469.0,3096.0,47.0,21690.0,85.2,,50.0,,27.0,85.2,0.7810168859387054
Balakan district,district,2021,27.0,,17404.0,15682.0,2986.0,47.0,21929.0,85.2,,50.0,,27.0,85.2,0.7959335483533575
Balakan district,district,2022,43.02,,13739.0,12486.0,2968.0,47.0,22180.0,86.0,,80.0,,43.02,86.0,0.845610695275934
Balakan district,district,2023,43.02,,13171.0,12037.0,2663.0,47.0,22312.0,86.0,,80.0,,43.02,86.0,0.8533660128716676
Balakan district,district,2024,42.98,,12950.0,11929.0,2863.0,47.0,22373.0,86.1,,80.0,,42.98,86.1,0.8550062959470633
Barda district,district,2000,,,23960.0,17741.0,7195.0,,30311.0,,,,,,,0.8336455736962632
