region,region_type,year,cost_price_per_centner_milk_enterprises_manat,cost_price_per_centner_milk_private_manat,cows_dairy_buffaloes_stock_heads,cows_heads,fodder_sown_area_ha,labour_hours_per_centner_milk_enterprises,milk_production_tons,profitability_milk_enterprises_pct,profitability_milk_private_pct,selling_price_per_centner_milk_enterprises_manat,selling_price_per_centner_milk_private_manat,cost_milk,profitability,vrs_raw,crs_raw,vrs_bc,crs_bc,vrs_bootstrap_degenerate_draws,crs_bootstrap_degenerate_draws,scale_eff_raw
Imishli district,district,2020,45.66,,40725.0,38717.0,17539.1,49.2,50307.0,30.1,,66.54,,45.66,30.1,0.34472800102885226,0.3437915423082043,0.29748519563224274,0.32971890489410377,0,0,0.9972834851887487
Ismayilli district,district,2020,39.1,64.1,22226.0,21939.0,952.5,50.1,36498.0,67.6,18.0,64.62,79.09,39.1,67.6,0.4447026857597144,0.4401702699762026,0.3551613159121192,0.37454837204099045,0,0,0.9898079864847932
Jabrayil district,district,2020,,,4298.0,4290.0,1275.0,,8572.0,,,,,,,0.6008183980620887,0.5286805553504408,0.5427511526364484,0.5013789863679105,0,0,0.8799340317401646
Jalilabad district,district,2020,94.0,,48280.0,47534.0,148.0,86.0,74009.0,,,,,94.0,,0.9999999999999973,0.6542623332483846,0.0,0.3523032337680412,8,0,0.6542623332483863
Julfa district,district,2020,,,8014.0,7738.0,416.0,,10084.0,,,,,,,0.3930357462107228,0.34480422517843146,0.3393963169268654,0.3036753788404197,0,0,0.8772846452331783
Kalbajar district,district,2020,,50.0,12521.0,12294.0,171.0,,17348.0,,,,,50.0,,0.4286793835032939,0.37748832256590964,0.2811506974320168,0.2268364327598148,0,0,0.8805842713520864
Kangarli district,district,2020,,,6334.0,6334.0,2599.0,,9226.0,,,,,,,0.4334752134838746,0.38539303230222716,0.39635094758898115,0.368933265876778,0,0,0.8890774381418326
Khachmaz district,district,2020,53.52,,26205.0,25475.0,4756.6,2.5,71902.0,23.5,,67.87,,53.52,23.5,1.000000000000042,0.7467844141780436,0.47889727931889503,0.6986323089937069,0,0,0.7467844141780123
Khizi district,district,2020,19.67,,4866.0,4837.0,375.0,48.0,6728.0,40.5,,46.57,,19.67,40.5,0.45112727382365087,0.36802588247002554,0.37983192503924645,0.3341758425117767,0,0,0.8157916929976832
Khojavand district,district,2020,,,1040.0,1040.0,399.4,,2591.0,,,,,,,1.0000000000000349,0.6591777520434072,0.6900135638525235,0.6300964680699092,0,0,0.6591777520433842
Kurdamir district,district,2020,48.65,38.13,32580.0,28832.0,10265.5,48.5,44894.0,10.2,31.2,54.82,51.49,48.65,10.2,0.41324421511346077,0.41198556559339655,0.37010952570663175,0.39293728997822225,0,0,0.9969542234977963
Lachin district,district,2020,,,14433.0,13508.0,910.2,,15180.0,,,,,,,0.3180332987129928,0.2973371586098894,0.28938396209288336,0.2681047734721245,0,0,0.9349246126526503
Lankaran district,district,2020,44.33,54.02,24510.0,24075.0,456.0,49.3,34936.0,3.9,14.2,46.07,61.67,44.33,3.9,0.38974340795923024,0.38395059987910884,0.24830811440610667,0.2662162149773417,0,0,0.9851368670724834
Lerik district,district,2020,37.93,,17349.0,17298.0,301.0,48.0,23653.0,112.0,,76.68,,37.93,112.0,0.37722911906034984,0.3617918724738408,0.26466988993409857,0.24201625872862348,0,0,0.9590772668213894
Masalli district,district,2020,,,36621.0,35150.0,3075.6,,49463.0,,,,,,,0.3723809712382829,0.37232619440744913,0.2373384500251824,0.33980804241682755,0,0,0.999852901101118
Neftchala district,district,2020,16.5,16.15,21127.0,20216.0,11282.8,46.7,31180.0,133.8,83.8,79.42,80.0,16.5,133.8,0.4149810032887662,0.4080837949959421,0.3967940782647555,0.39264701912896527,0,0,0.9833794601724826
Oghuz district,district,2020,40.0,,10434.0,10201.0,1339.0,48.0,14352.0,75.0,54.8,70.0,65.0,40.0,75.0,0.3983287537372075,0.3722529477540063,0.3687305565233575,0.3448375736302936,0,0,0.9345369729436998
Ordubad district,district,2020,,,5420.0,5319.0,730.0,,6178.0,,,,,,,0.3764590458438311,0.30731685564128153,0.3201799776521383,0.285061295175416,0,0,0.8163354262146425
Saatli district,district,2020,29.92,32.65,32354.0,31782.0,13838.0,48.2,41877.0,48.8,31.2,50.0,50.0,29.92,48.8,0.35048422065741164,0.34862843471417554,0.32335820187382125,0.3341207101202285,0,0,0.9947050799041532
Sabirabad district,district,2020,5.22,,61607.0,58923.0,22374.0,7.1,118771.0,92.0,,58.41,,5.22,92.0,0.9050357658845959,0.5333275641353276,0.3575891390133843,0.5096496650086465,0,0,0.5892889366798062
Sadarak district,district,2020,,,1784.0,1265.0,481.0,,1881.0,,,,,,,0.7220855255695497,0.39342933372510047,0.4805974069857113,0.37597680638869935,0,0,0.5448514335123675
Salyan district,district,2020,35.45,29.2,33329.0,32268.0,22249.0,48.0,50487.0,8.1,69.9,37.59,50.0,35.45,8.1,0.41544436328743034,0.4139767819429315,0.36233067985960277,0.3989492117682411,0,0,0.996467441914759
Samukh district,district,2020,48.41,48.0,11872.0,11075.0,8110.0,47.0,31367.0,46.9,40.6,71.13,67.48,48.41,46.9,0.7618354202167191,0.7493724392485445,0.7298525517615,0.7224370528971477,0,0,0.9836408486171078
Shabran district,district,2020,47.83,48.0,11977.0,10760.0,679.4,48.0,15167.0,66.5,,75.41,,47.83,66.5,0.39956913314254316,0.3729545267451405,0.3623430423547286,0.3344061217744097,0,0,0.9333917357727728
Shahbuz district,district,2020,,,11957.0,11957.0,367.0,,15578.0,,,,,,,0.37253447232907444,0.3447132187064592,0.305565761213721,0.2744281734455865,0,0,0.9253189820295621
Shaki district,district,2020,22.7,37.49,34914.0,30478.0,4042.0,48.0,60678.0,37.5,56.4,69.85,72.87,22.7,37.5,0.6251800774406135,0.5267605715893124,0.3376820936931453,0.48814446755005014,0,0,0.8425741487889142
Shamakhi district,district,2020,38.7,76.77,14720.0,14434.0,806.0,41.0,33256.0,,40.5,,74.52,38.7,40.5,0.618187937816902,0.6096095723756622,0.5294189317376431,0.5395185050554949,0,0,0.9861233697449131
Shamkir district,district,2020,15.76,,27827.0,27377.0,10374.5,42.0,52234.0,,,63.46,,15.76,,0.5104837834866888,0.5048192370140907,0.42667972324764325,0.48237932760128377,0,0,0.9889035721489363
Sharur district,district,2020,,,22336.0,21568.0,6788.3,,29294.0,,,,,,,0.36648876782852774,0.3593662350510761,0.34758160531443577,0.34144223467845136,0,0,0.9805654813934596
Shusha district,district,2020,,,2399.0,2356.0,236.5,,2027.0,,,,,,,0.42733510082841675,0.2276391367020859,0.2685685291792226,0.20879788273472244,0,0,0.5326946844778084
Siyazan district,district,2020,,41.36,7036.0,6797.0,468.0,,13450.0,,69.3,,70.0,41.36,69.3,0.5683232759932426,0.5235684662560101,0.514592647351882,0.4727695253906916,0,0,0.921251140631156
Tartar district,district,2020,26.21,14.86,12439.0,12362.0,8110.5,38.9,22065.0,21.3,102.2,30.16,30.0,26.21,21.3,0.48908757641073947,0.47226271539271897,0.4694264216153239,0.45496849527145455,0,0,0.9655994921369851
Tovuz district,district,2020,59.2,,18402.0,17801.0,3416.0,47.1,38134.0,,,,,59.2,,0.5717033860483519,0.5668085978517506,0.5144695956271139,0.5306606209081381,0,0,0.9914382382262341
Ujar district,district,2020,,,33286.0,26946.0,10095.0,,68873.0,,,,,,,0.7201054123417506,0.6762747343701079,0.46596202041253965,0.6459998444039677,0,0,0.9391329696729992
Yardimli district,district,2020,33.8,39.0,14832.0,14768.0,3.0,41.9,24373.0,9.5,13.4,70.0,70.0,33.8,9.5,1.0000000000000002,1.0,0.0,0.0,12,24,0.9999999999999998
Yevlakh district,district,2020,25.81,26.02,28450.0,25005.0,16442.5,49.1,37243.0,155.2,159.6,65.86,67.5,25.81,155.2,0.397834284781128,0.39408169774963125,0.3764606331149174,0.3796562187826315,0,0,0.9905674619432027
Zagatala district,district,2020,40.0,49.77,29376.0,27389.0,8275.0,48.0,43699.0,3.8,15.5,60.0,62.95,40.0,3.8,0.42380019364159444,0.42214708048843474,0.37894811416662627,0.4005594504182621,0,0,0.9960993100570461
Zangilan district,district,2020,,,797.0,797.0,63.5,,331.0,,,,,,,0.8996235884567118,0.10988493097834688,0.34099219585099205,0.09989939889788038,0,0,0.12214545326323926
Zardab district,district,2020,43.0,41.05,22909.0,21487.0,17514.3,34.5,31960.0,16.3,10.9,50.0,50.9,43.0,16.3,0.39976578097297066,0.3935495808218227,0.3828121892036022,0.3795580587593287,0,0,0.9844503945885046
Absheron district,district,2021,89.04,40.94,13151.0,13151.0,298.3,21.1,50370.0,6.8,10.2,74.77,48.35,89.04,6.8,1.0,1.0,0.16903679705257924,0.5983717437433425,0,0,1.0
Agdash district,district,2021,31.0,,31997.0,24476.0,9931.0,48.0,60772.0,93.5,,60.0,,31.0,93.5,0.6776486990967517,0.6482610249767019,0.5282008523448816,0.6174466516366209,0,0,0.9566328775378435
Aghdam district,district,2021,6.31,,20124.0,20028.0,10440.1,3.4,40211.0,19.4,,47.76,,6.31,19.4,0.5282081509691359,0.5241965011144414,0.4911737161553824,0.5010849239268668,0,0,0.9924051723788547
Aghjabadi district,district,2021,31.11,,41658.0,38467.0,24753.5,4.9,127030.0,42.6,,46.59,,31.11,42.6,0.9999999999999999,0.8621936252850386,0.0,0.8257928376312824,15,0,0.8621936252850387
Aghstafa district,district,2021,7.4,,11965.0,9717.0,5058.0,54.4,17370.0,75.0,,80.0,,7.4,75.0,0.49357697908518705,0.466717883831306,0.4694679053723194,0.4461330541974186,0,0,0.9455827633945517
Aghsu district,district,2021,70.77,39.42,18895.0,16857.0,886.2,32.3,31531.0,7.0,59.0,75.69,60.0,70.77,7.0,0.49720339814089526,0.4883647223984997,0.4153322439634025,0.41920134830525746,0,0,0.9822232193596334
