region,year,cost_price_per_centner_milk_enterprises_manat,cost_price_per_centner_milk_private_manat,cows_dairy_buffaloes_stock_heads,cows_heads,fodder_sown_area_ha,labour_hours_per_centner_milk_enterprises,milk_production_tons,profitability_milk_enterprises_pct,profitability_milk_private_pct,selling_price_per_centner_milk_enterprises_manat,selling_price_per_centner_milk_private_manat
Gazakh-Tovuz economic region,2001,,,72184.0,66399.0,12692.0,,83930.0,,,,
Gazakh-Tovuz economic region,2002,,,80104.0,74187.0,12396.0,,89443.0,,,,
Gazakh-Tovuz economic region,2003,,,82640.0,76588.0,7913.0,,92510.0,,,,
Gazakh-Tovuz economic region,2004,,,84784.0,78625.0,8359.0,,100753.0,,,,
Gazakh-Tovuz economic region,2005,14.66,8.78,92310.0,86170.0,7847.0,48.0,103286.0,,34.3,20.95,25.59
Gazakh-Tovuz economic region,2006,,,93929.0,87645.0,10526.0,,109835.0,,,,
Gazakh-Tovuz economic region,2007,,,96651.0,90444.0,16406.0,,113502.0,,,,
Gazakh-Tovuz economic region,2008,19.93,17.53,98067.0,91728.0,24722.0,48.5,115477.0,,35.4,38.64,32.5
Gazakh-Tovuz economic region,2009,25.03,21.62,98662.0,92903.0,25911.0,48.0,119082.0,,57.1,45.2,35.1
Gazakh-Tovuz economic region,2010,35.39,25.36,99515.0,93737.0,28799.0,46.9,142974.0,,96.1,49.65,51.85
Gazakh-Tovuz economic region,2011,23.42,27.57,99986.0,94544.0,28265.0,47.6,153171.0,,60.9,45.48,45.65
Gazakh-Tovuz economic region,2012,23.64,23.22,100637.0,95243.0,26521.0,47.3,158140.0,,124.0,58.05,56.3
Gazakh-Tovuz economic region,2013,26.7,25.83,101159.0,95779.0,28216.0,47.7,165245.0,,122.0,59.6,57.6
Gazakh-Tovuz economic region,2014,18.2,25.63,100962.0,95692.0,24770.0,47.9,171059.0,83.7,118.8,55.4,58.05
Gazakh-Tovuz economic region,2015,18.95,26.16,101261.0,96082.0,27209.0,46.6,176851.0,83.7,107.5,54.78,56.25
Gazakh-Tovuz economic region,2016,23.83,59.83,99210.0,93959.0,26257.0,48.0,181598.0,70.9,72.7,56.39,62.16
Gazakh-Tovuz economic region,2017,18.49,38.27,99743.0,94797.0,21576.0,47.7,182632.0,81.8,56.6,55.52,61.66
Gazakh-Tovuz economic region,2018,19.46,38.65,96837.0,91943.0,22560.0,46.5,191808.0,92.8,60.9,58.87,62.09
Gazakh-Tovuz economic region,2019,16.22,40.42,96508.0,91720.0,23122.0,41.1,185124.0,90.6,95.0,66.87,80.0
Gazakh-Tovuz economic region,2020,16.45,31.81,96687.0,91899.0,27387.5,42.0,187114.0,,62.1,63.45,65.85
Gazakh-Tovuz economic region,2021,19.13,38.22,96539.0,91824.0,23793.5,44.1,188939.0,86.5,103.8,64.07,64.69
Gazakh-Tovuz economic region,2022,23.64,31.5,95206.0,90577.0,23767.5,46.9,190565.0,248.9,96.4,104.27,67.68
Gazakh-Tovuz economic region,2023,8.67,47.97,94151.0,89699.0,22546.6,12.4,192996.0,157.9,100.9,53.89,73.8
Gazakh-Tovuz economic region,2024,22.21,52.14,91395.0,87993.0,23564.8,21.0,192749.0,18.6,91.1,31.27,98.04
Guba-Khachmaz economic region,2000,,,80625.0,74825.0,1564.0,,93046.0,,,,
Guba-Khachmaz economic region,2001,,,82447.0,76775.0,2493.0,,101911.0,,,,
Guba-Khachmaz economic region,2002,,,83770.0,78435.0,2403.0,,98130.0,,,,
Guba-Khachmaz economic region,2003,,,84721.0,79590.0,2502.0,,104463.0,,,,
Guba-Khachmaz economic region,2004,,,85389.0,80677.0,3248.0,,108020.0,,,,
Guba-Khachmaz economic region,2005,20.47,12.33,84988.0,81078.0,3374.0,48.4,109511.0,-7.5,49.5,18.52,21.84
Guba-Khachmaz economic region,2006,,,85619.0,81764.0,4143.0,,110622.0,,,,
Guba-Khachmaz economic region,2007,,,86373.0,82540.0,7507.0,,111730.0,,,,
Guba-Khachmaz economic region,2008,25.28,19.84,87463.0,83764.0,9235.0,47.7,112012.0,19.8,87.4,32.42,42.32
Guba-Khachmaz economic region,2009,27.18,22.92,87824.0,84306.0,10214.0,48.0,114200.0,5.3,106.5,30.4,49.53
Guba-Khachmaz economic region,2010,26.54,28.08,88397.0,84801.0,11320.0,48.3,118675.0,35.3,70.7,34.6,48.2
Guba-Khachmaz economic region,2011,36.09,28.02,88843.0,85425.0,9609.0,48.0,123095.0,10.2,64.3,36.8,47.6
Guba-Khachmaz economic region,2012,33.85,34.46,89003.0,85749.0,9219.0,48.3,126398.0,25.0,76.3,39.75,61.9
Guba-Khachmaz economic region,2013,18.76,34.71,88332.0,85246.0,8694.0,48.0,130782.0,,89.8,44.0,68.0
Guba-Khachmaz economic region,2014,53.79,38.94,87592.0,84755.0,9019.0,48.0,137712.0,,80.1,50.06,70.06
Guba-Khachmaz economic region,2015,43.72,40.45,89351.0,86494.0,10005.0,48.0,142356.0,2.9,66.4,45.9,67.17
Guba-Khachmaz economic region,2016,67.32,46.85,87738.0,85039.0,10783.0,51.5,146404.0,,58.6,49.96,74.51
Guba-Khachmaz economic region,2017,52.06,42.49,87715.0,85088.0,11284.0,46.1,154157.0,3.1,64.8,64.95,70.0
Guba-Khachmaz economic region,2018,61.32,58.31,87711.0,85136.0,11542.0,20.1,161331.0,,20.0,59.84,70.0
Guba-Khachmaz economic region,2019,59.94,52.61,87689.0,85325.0,12090.0,15.1,168274.0,8.8,32.6,94.01,70.0
Guba-Khachmaz economic region,2020,43.39,41.39,88834.0,86545.0,12420.0,18.6,173840.0,21.1,69.3,60.5,70.0
Guba-Khachmaz economic region,2021,65.06,47.16,88550.0,86215.0,10326.5,30.8,177757.0,13.6,114.3,68.59,88.42
Guba-Khachmaz economic region,2022,74.71,65.31,86063.0,84006.0,8995.1,37.7,183039.0,23.0,23.6,85.55,80.69
Guba-Khachmaz economic region,2023,64.04,40.96,84541.0,82664.0,7917.5,37.8,186342.0,14.6,120.0,84.86,95.56
Guba-Khachmaz economic region,2024,66.26,18.09,81543.0,79875.0,6698.7,36.2,187544.0,8.8,,72.26,
Karabakh economic region,2000,,,86929.0,73022.0,23709.0,,97768.0,,,,
Karabakh economic region,2001,,,91768.0,77185.0,28303.0,,103756.0,,,,
Karabakh economic region,2002,,,100018.0,84516.0,34898.0,,106035.0,,,,
Karabakh economic region,2003,,,103509.0,88014.0,41802.0,,112229.0,,,,
Karabakh economic region,2004,,,107415.0,92121.0,44308.0,,123799.0,,,,
Karabakh economic region,2005,20.55,10.5,108712.0,93443.0,46639.0,47.8,129705.0,,66.7,30.0,20.0
Karabakh economic region,2006,,,112037.0,97375.0,52841.0,,133539.0,,,,
Karabakh economic region,2007,,,116922.0,102732.0,71834.0,,137699.0,,,,
Karabakh economic region,2008,21.32,13.85,119471.0,105735.0,79977.0,46.9,140767.0,,31.5,27.51,18.71
Karabakh economic region,2009,19.07,31.03,121902.0,108442.0,73470.0,48.0,145051.0,,-41.7,31.45,38.46
Karabakh economic region,2010,28.72,20.91,123646.0,110138.0,88600.0,48.8,149211.0,,41.8,44.88,21.1
Karabakh economic region,2011,52.84,15.56,125067.0,112531.0,87910.0,53.8,154443.0,,19.5,47.97,30.0
Karabakh economic region,2012,31.83,22.97,129998.0,117398.0,82239.0,48.0,160988.0,,22.3,44.07,
Karabakh economic region,2013,38.52,15.56,133169.0,120584.0,84310.0,48.0,186251.0,,19.5,39.78,30.0
Karabakh economic region,2014,32.77,,134939.0,122565.0,86917.0,48.0,205493.0,16.1,,45.95,
Karabakh economic region,2015,28.38,,135763.0,123585.0,94755.0,48.0,238585.0,30.6,,49.69,
Karabakh economic region,2016,28.63,,137529.0,125650.0,85672.0,48.1,268167.0,30.1,,49.87,
Karabakh economic region,2017,48.84,,137894.0,126989.0,72716.0,48.2,271650.0,30.4,,45.34,
Karabakh economic region,2018,49.59,,139011.0,128712.0,68634.0,47.4,277061.0,33.0,,45.62,
Karabakh economic region,2019,35.03,,137001.0,129415.0,73851.0,47.0,300960.0,23.7,,45.64,
Karabakh economic region,2020,23.76,14.86,136599.0,129415.0,78470.5,8.1,311817.0,144.2,102.2,42.9,30.0
Karabakh economic region,2021,31.18,24.33,139405.0,132778.0,81025.3,9.5,311007.0,45.5,100.0,48.7,30.0
Karabakh economic region,2022,35.64,,146586.0,140462.0,80361.3,13.5,332638.0,36.4,,35.05,
Karabakh economic region,2023,40.35,,150605.0,144904.0,70615.5,15.7,355906.0,46.6,,65.87,
Karabakh economic region,2024,33.33,,160440.0,155333.0,74049.5,17.9,372166.0,102.4,,65.97,
Lankaran-Astara economic region,2000,,,118199.0,111860.0,115.0,,130900.0,,,,
Lankaran-Astara economic region,2001,,,122946.0,116486.0,347.0,,135892.0,,,,
Lankaran-Astara economic region,2002,,,126930.0,120296.0,34.0,,136563.0,,,,
Lankaran-Astara economic region,2003,,,133846.0,126910.0,418.0,,147940.0,,,,
Lankaran-Astara economic region,2004,,,142470.0,135499.0,806.0,,149392.0,,,,
Lankaran-Astara economic region,2005,17.81,13.42,145303.0,138439.0,834.0,47.8,156945.0,8.4,9.5,18.76,15.26
Lankaran-Astara economic region,2006,,,150383.0,143536.0,1286.0,,159156.0,,,,
Lankaran-Astara economic region,2007,,,153392.0,146357.0,1149.0,,161676.0,,,,
Lankaran-Astara economic region,2008,23.59,19.74,157393.0,150035.0,1295.0,45.5,163766.0,14.4,22.9,31.36,29.75
Lankaran-Astara economic region,2009,23.56,21.3,158596.0,151313.0,2209.0,42.5,167571.0,4.8,5.2,35.61,22.17
Lankaran-Astara economic region,2010,19.54,23.39,159085.0,152218.0,3841.0,48.1,169280.0,3.6,6.8,24.9,24.3
Lankaran-Astara economic region,2011,32.02,22.53,160659.0,154138.0,3481.0,47.9,175913.0,15.6,14.9,42.8,26.8
Lankaran-Astara economic region,2012,33.91,22.03,162581.0,156218.0,2996.0,48.7,204232.0,8.7,2.8,41.95,31.6
Lankaran-Astara economic region,2013,27.26,27.65,163729.0,157327.0,3940.0,48.0,217764.0,4.4,4.7,39.5,26.6
Lankaran-Astara economic region,2014,33.6,23.32,164030.0,158027.0,3720.0,48.1,221341.0,7.3,4.7,40.8,41.89
Lankaran-Astara economic region,2015,34.69,22.67,164222.0,158485.0,3632.0,48.6,227945.0,6.8,4.0,42.93,40.93
Lankaran-Astara economic region,2016,37.72,30.48,164257.0,159267.0,4454.0,48.2,229027.0,8.2,15.8,48.13,43.78
Lankaran-Astara economic region,2017,41.21,27.87,161448.0,157624.0,6421.0,48.5,229580.0,9.1,16.1,49.22,44.31
Lankaran-Astara economic region,2018,39.57,24.21,160804.0,157444.0,4841.0,47.6,223784.0,14.4,14.2,47.19,66.32
Lankaran-Astara economic region,2019,34.09,41.19,161083.0,157853.0,5278.0,38.5,235410.0,20.0,6.3,46.8,45.4
Lankaran-Astara economic region,2020,35.03,42.01,161458.0,158427.0,5302.8,28.9,233786.0,19.4,13.5,46.61,68.1
Lankaran-Astara economic region,2021,36.02,39.68,161663.0,158869.0,5815.3,30.4,234603.0,17.9,19.4,46.86,68.21
Lankaran-Astara economic region,2022,37.24,47.38,163911.0,161043.0,5231.4,29.7,235662.0,22.3,12.9,49.5,76.33
Lankaran-Astara economic region,2023,36.05,47.76,161190.0,158448.0,5039.9,29.1,240514.0,19.1,19.8,57.98,88.1
Lankaran-Astara economic region,2024,39.12,48.11,159655.0,156652.0,5253.7,26.0,243723.0,17.0,23.3,65.08,96.99
Mil-Mughan economic region,2000,,,99922.0,82388.0,31242.0,,113467.0,,,,
Mil-Mughan economic region,2001,,,107687.0,88470.0,37686.0,,115344.0,,,,
Mil-Mughan economic region,2002,,,112609.0,93627.0,40786.0,,120688.0,,,,
Mil-Mughan economic region,2003,,,118447.0,99186.0,47079.0,,124260.0,,,,
Mil-Mughan economic region,2004,,,123889.0,104040.0,46926.0,,135226.0,,,,
Mil-Mughan economic region,2005,13.58,12.62,128316.0,109042.0,46413.0,48.5,141401.0,,42.0,16.25,16.34
Mil-Mughan economic region,2006,,,133139.0,113879.0,51866.0,,148519.0,,,,
Mil-Mughan economic region,2007,,,139272.0,119771.0,64789.0,,156023.0,,,,
Mil-Mughan economic region,2008,30.36,24.68,143239.0,124735.0,73874.0,44.1,164246.0,,66.2,28.39,36.96
Mil-Mughan economic region,2009,31.25,25.63,147196.0,128596.0,76928.0,47.6,179085.0,,31.6,30.97,31.25
Mil-Mughan economic region,2010,30.62,27.37,149601.0,131323.0,73919.0,47.6,191130.0,,27.7,31.4,31.58
Mil-Mughan economic region,2011,29.32,28.81,151374.0,133497.0,84716.0,48.0,197998.0,,26.1,31.3,32.63
Mil-Mughan economic region,2012,32.79,31.71,153494.0,136294.0,89054.0,48.0,205419.0,,6.2,34.34,34.03
Mil-Mughan economic region,2013,34.4,31.85,155135.0,138391.0,89315.0,48.0,213274.0,,17.6,48.07,41.08
