,,,,,,,,,,,,,,,,,,,
,"2.53. Labour expenditure for per centner of milk, person-hour",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Shaki-Zagatala economic region ,"47,5","46,6","47,8","45,7","47,8","48,0","48,0","44,0","45,3","27,2","26,1","15,9","14,2","38,3","52,3","53,5","50,7","48,5"
,Balakan district ,"46,4",42.0,"47,0","47,0","47,2","47,7","47,9","47,9","48,0","47,1","48,0","47,0","47,0","47","47","47","47,0","47"
,Gakh district ,"47,6","47,9","48,0","48,0","47,9","48,0","48,0","48,1","47,9","47,9","47,8","48,0","48,0","11.9","24.8","26.2","27,1","34.9"
,Gabala district ,"50,0","47,5","48,0","48,0","48,0","48,0","48,0","48,0","44,0","18,8","17,4","4,6","5,0","35.5","54","54.5","51,7","49"
,Oghuz district ,"45,7","46,5","47,0","47,0","46,9","48,0","47,0","47,2","46,4","46,3","47,0","47,2","49,2","48","48","48","48,0","48"
,Shaki district,"46,7","48,0","48,0","47,4","48,0","48,0","48,0","48,0","48,0","48,0","48,0","48,0","48,0","48","48","43.9","12,0","12.5"
,Zagatala district ,"49,8","48,4","48,0","39,5","47,9","49,7","49,0","48,0","48,0","48,0","48,0","47,9","48,1","48","48","48","48,0","48"
,Eastern Zangazur economic  region ,"47,6","44,4","48,0","48,0",-,-,"48","45.5","47.5","47.7","29.7","20.2","47","46.9","46.9","46.9","46.9","46.9"
,Jabrayil district ,-,-,-,-,-,-,"48,0","46,2","46,7","50,0",-,-,-,-,-,-,-,-
,Kalbajar district,-,-,"48,0",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Gubadli district ,-,-,-,-,-,-,-,-,-,"47,3","47,2","47,1","47,0","46.9","46.9","46.9","46.9","46.9"
,Lachin district,"47,6","44,4","48,0","48,0",-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Zangilan district ,-,-,"48,0",-,-,-,-,"42,9","50,0","47,5","15,4","5,2",-,-,-,-,-,-
,Shirvan-Salyan economic region ,"48.9","49,0","48,5","48,4","48,0","48","48.2","47.7","47.8","47.9","47.8","47.1","47","47.3","47.2","47.1","47,1","45.6"
,Bilasuvar district ,-,-,-,"48,0","48,0","48,0","48,0","48,0","48,0","48,0","48,0","48,0","48,0","48","48","48","48,0","48"
,Hajigabul district ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"12.6"
,Neftchala district ,"50,0","50,0","49,0","48,0","48,0","48,0","48,5","48,0","46,0","45,4","46,1","46,7","46,7","46.7","46.7","46.7","46,7","46.7"
,Salyan district ,"47,8","48,0","48,0","49,3","48,0","48,0","48,0","48,0","48,0","48,0","48,0","48,0","48,0","48","48","48","48,0","48"
