region,region_type,year,cost_price_per_centner_milk_enterprises_manat,cost_price_per_centner_milk_private_manat,cows_dairy_buffaloes_stock_heads,cows_heads,fodder_sown_area_ha,labour_hours_per_centner_milk_enterprises,milk_production_tons,profitability_milk_enterprises_pct,profitability_milk_private_pct,selling_price_per_centner_milk_enterprises_manat,selling_price_per_centner_milk_private_manat
Khachmaz district,district,2006,,,25840.0,24155.0,3615.0,,35161.0,,,,
Khachmaz district,district,2007,,,26057.0,24440.0,4893.0,,36005.0,,,,
Khachmaz district,district,2008,27.01,25.0,25973.0,24694.0,5314.0,47.8,36185.0,18.5,60.0,35.07,40.0
Khachmaz district,district,2009,20.51,18.07,26129.0,24847.0,5815.0,48.0,36511.0,17.2,66.1,28.55,30.27
Khachmaz district,district,2010,31.9,20.49,26020.0,24657.0,5812.0,48.0,37862.0,-6.1,51.6,29.6,33.5
Khachmaz district,district,2011,60.64,21.15,25961.0,24709.0,3768.0,48.0,39263.0,-42.2,66.1,38.9,37.4
Khachmaz district,district,2012,41.9,20.05,25850.0,24682.0,3358.0,52.5,39852.0,6.7,36.4,46.73,30.0
Khachmaz district,district,2013,45.7,14.91,25738.0,24651.0,2906.0,48.0,42513.0,,36.4,43.0,30.0
Khachmaz district,district,2014,48.01,,25543.0,24579.0,3083.0,48.0,45379.0,,,41.49,
Khachmaz district,district,2015,59.22,,26428.0,25475.0,3228.0,48.0,48640.0,,,35.05,
Khachmaz district,district,2016,758.63,,25925.0,25029.0,3604.0,80.4,52020.0,,,57.03,
Khachmaz district,district,2017,62.2,,26335.0,25394.0,4520.0,44.5,60569.0,5.8,,70.22,
Khachmaz district,district,2018,60.81,,26491.0,25626.0,4663.0,2.4,63822.0,4.6,,67.36,
Khachmaz district,district,2019,58.36,,25735.0,24966.0,4789.0,2.6,69035.0,11.5,,92.58,
Khachmaz district,district,2020,53.52,,26205.0,25475.0,4756.6,2.5,71902.0,23.5,,67.87,
Khachmaz district,district,2021,82.31,,26065.0,25271.0,4443.6,24.4,74902.0,21.7,,64.07,
Khachmaz district,district,2022,80.4,,26129.0,25429.0,3558.6,33.4,78806.0,25.5,,88.76,
Khachmaz district,district,2023,64.28,,24878.0,24378.0,2672.7,34.0,82482.0,13.9,,86.22,
Khachmaz district,district,2024,67.35,,23418.0,23096.0,2354.9,32.0,83747.0,10.7,,72.2,
Khizi district,district,2000,,,3925.0,3889.0,21.0,,4053.0,,,,
Khizi district,district,2001,,,3948.0,3899.0,24.0,,3635.0,,,,
Khizi district,district,2002,,,3988.0,3954.0,2.0,,3825.0,,,,
Khizi district,district,2003,,,4051.0,4006.0,,,3900.0,,,,
Khizi district,district,2004,,,4496.0,4448.0,,,4200.0,,,,
Khizi district,district,2005,,5.43,4426.0,4346.0,,,4150.0,,66.7,,20.0
Khizi district,district,2006,,,4219.0,4070.0,,,4711.0,,,,
Khizi district,district,2007,,,5087.0,4937.0,137.0,,4235.0,,,,
Khizi district,district,2008,,15.99,5068.0,5049.0,186.0,,5209.0,,50.0,,36.0
Khizi district,district,2009,,16.0,5153.0,5122.0,,,5606.0,,83.3,,55.0
Khizi district,district,2010,,39.16,5150.0,5126.0,369.0,,8940.0,,100.0,,62.7
Khizi district,district,2011,,41.35,5460.0,5441.0,176.0,,9650.0,,100.0,,62.9
Khizi district,district,2012,,32.58,6078.0,6062.0,501.0,,11575.0,,-1.2,,30.6
Khizi district,district,2013,,17.58,5653.0,5643.0,186.0,,11748.0,,100.0,,80.0
Khizi district,district,2014,,,5976.0,5933.0,38.0,,10956.0,,,,
Khizi district,district,2015,501.0,,5114.0,5083.0,113.0,48.0,12080.0,2.1,,43.64,
Khizi district,district,2016,55.46,,5147.0,5137.0,259.0,48.0,10344.0,42.6,,32.84,
Khizi district,district,2017,65.89,,4685.0,4675.0,300.0,48.0,9468.0,12.9,,63.55,
Khizi district,district,2018,62.11,,5207.0,5191.0,265.0,47.8,6992.0,61.6,,79.49,
Khizi district,district,2019,52.62,,4864.0,4815.0,297.0,48.0,6845.0,,,44.76,
Khizi district,district,2020,19.67,,4866.0,4837.0,375.0,48.0,6728.0,40.5,,46.57,
Khizi district,district,2021,80.0,,4561.0,4541.0,240.0,48.0,7057.0,,,68.68,
Khizi district,district,2022,80.0,,4542.0,4514.0,596.0,48.0,6985.0,,,,
Khizi district,district,2023,60.0,,4156.0,4143.0,305.0,48.0,6987.0,66.7,,100.0,
Khizi district,district,2024,,,4082.0,4063.0,90.0,,7022.0,,,,
Khojaly district,district,2000,,,633.0,600.0,,,566.0,,,,
Khojaly district,district,2001,,,694.0,636.0,,,651.0,,,,
Khojaly district,district,2002,,,1167.0,1115.0,5.0,,764.0,,,,
Khojaly district,district,2003,,,1607.0,1523.0,,,967.0,,,,
Khojaly district,district,2004,,,2014.0,1936.0,10.0,,1323.0,,,,
Khojaly district,district,2005,20.38,12.73,2003.0,1916.0,,48.8,1095.0,,,,
Khojaly district,district,2006,,,2070.0,1962.0,,,1402.0,,,,
Khojaly district,district,2007,,,2259.0,2149.0,,,2878.0,,,,
Khojaly district,district,2008,16.67,,2433.0,2330.0,,41.7,3150.0,,,,
Khojaly district,district,2009,25.0,24.6,2399.0,2288.0,,48.0,4200.0,0.1,-41.7,30.0,38.46
Khojaly district,district,2010,25.0,,2487.0,2368.0,,48.0,5201.0,260.0,,100.0,
Khojaly district,district,2011,36.3,,2217.0,2096.0,,48.0,5150.0,,,31.3,
Khojaly district,district,2012,,,2266.0,2145.0,,,3650.0,,,,
Khojaly district,district,2013,,,2127.0,2006.0,,,4878.0,,,,
Khojaly district,district,2014,,,1762.0,1644.0,,,5150.0,,,,
Khojaly district,district,2015,,,1733.0,1623.0,,,5560.0,,,,
Khojaly district,district,2016,,,1508.0,1393.0,,,5520.0,,,,
Khojaly district,district,2017,,,1287.0,1172.0,,,3580.0,,,,
Khojaly district,district,2018,,,1202.0,1184.0,,,3082.0,,,,
Khojaly district,district,2019,,,1268.0,1250.0,,,1472.0,,,,
Khojaly district,district,2020,,,1269.0,1251.0,,,1394.0,,,,
Khojaly district,district,2021,,,1377.0,1349.0,,,1459.0,,,,
Khojaly district,district,2022,,,1260.0,1244.0,,,1537.0,,,,
Khojaly district,district,2023,,,1596.0,1580.0,,,1525.0,,,,
Khojaly district,district,2024,,,2089.0,2073.0,,,1451.0,,,,
Khojavand district,district,2000,,,1310.0,1279.0,144.0,,1177.0,,,,
Khojavand district,district,2001,,,1383.0,1355.0,126.0,,1395.0,,,,
Khojavand district,district,2002,,,1808.0,1753.0,149.0,,1608.0,,,,
Khojavand district,district,2003,,,1818.0,1779.0,201.0,,1717.0,,,,
Khojavand district,district,2004,,,1826.0,1793.0,234.0,,1853.0,,,,
Khojavand district,district,2005,,8.26,1688.0,1678.0,254.0,,1858.0,,66.7,,20.0
Khojavand district,district,2006,,,1692.0,1690.0,309.0,,1859.0,,,,
Khojavand district,district,2007,,,1648.0,1642.0,528.0,,1860.0,,,,
Khojavand district,district,2008,,9.92,961.0,957.0,553.0,,1660.0,,21.4,,17.0
Khojavand district,district,2009,18.0,18.48,800.0,797.0,615.0,,813.0,,,,
Khojavand district,district,2010,2.5,14.31,872.0,872.0,521.0,,385.0,,41.8,,21.1
Khojavand district,district,2011,,15.56,881.0,880.0,475.0,,290.0,,19.5,,30.0
Khojavand district,district,2012,30.0,15.56,937.0,934.0,512.0,48.0,1103.0,,19.5,,30.0
Khojavand district,district,2013,,15.56,1010.0,1010.0,270.0,,1486.0,,19.5,,30.0
Khojavand district,district,2014,,,1042.0,1042.0,283.0,,1492.0,,,,
Khojavand district,district,2015,,,1073.0,1073.0,409.0,,1680.0,,,,
Khojavand district,district,2016,,,1159.0,1159.0,400.0,,2200.0,,,,
Khojavand district,district,2017,,,949.0,949.0,394.0,,2298.0,,,,
Khojavand district,district,2018,,,922.0,922.0,410.0,,2510.0,,,,
Khojavand district,district,2019,,,1014.0,1014.0,416.0,,2541.0,,,,
Khojavand district,district,2020,,,1040.0,1040.0,399.4,,2591.0,,,,
Khojavand district,district,2021,,,1086.0,1086.0,421.6,,2716.0,,,,
Khojavand district,district,2022,,,1091.0,1026.0,390.9,,2890.0,,,,
Khojavand district,district,2023,,,1095.0,1007.0,403.2,,2722.0,,,,
Khojavand district,district,2024,,,1285.0,1213.0,409.0,,2693.0,,,,
Kurdamir district,district,2000,,,24598.0,17601.0,10593.0,,20426.0,,,,
Kurdamir district,district,2001,,,26325.0,18144.0,10579.0,,22224.0,,,,
Kurdamir district,district,2002,,,27342.0,19577.0,9618.0,,22169.0,,,,
Kurdamir district,district,2003,,,27650.0,20261.0,9734.0,,22289.0,,,,
Kurdamir district,district,2004,,,28388.0,21239.0,10123.0,,22730.0,,,,
Kurdamir district,district,2005,12.03,13.0,28773.0,21791.0,10331.0,49.0,23071.0,39.4,38.5,16.45,18.0
Kurdamir district,district,2006,,,29009.0,22327.0,10496.0,,23450.0,,,,
Kurdamir district,district,2007,,,29805.0,22623.0,12059.0,,23567.0,,,,
Kurdamir district,district,2008,22.05,22.95,30411.0,24181.0,12927.0,50.0,24038.0,12.4,21.7,37.11,42.0
Kurdamir district,district,2009,28.98,25.0,30770.0,24726.0,15727.0,48.0,24446.0,158.4,39.5,74.91,34.88
Kurdamir district,district,2010,57.62,25.75,31106.0,25097.0,14809.0,48.1,32693.0,4.7,77.3,62.4,45.2
Kurdamir district,district,2011,34.64,26.72,32175.0,25988.0,14086.0,48.0,33454.0,2.7,97.1,88.8,50.0
Kurdamir district,district,2012,35.92,27.21,32507.0,26444.0,13447.0,48.2,37400.0,99.3,76.7,69.56,48.1
Kurdamir district,district,2013,36.72,27.35,33256.0,27444.0,16841.0,48.2,41564.0,87.2,77.2,67.6,48.5
Kurdamir district,district,2014,36.65,27.87,32889.0,27468.0,17236.0,48.1,41620.0,29.0,73.5,50.49,48.39
Kurdamir district,district,2015,36.87,27.83,33516.0,28084.0,14978.0,48.1,41786.0,29.5,71.7,50.35,48.13
Kurdamir district,district,2016,35.37,28.27,33548.0,28202.0,13244.0,48.1,42786.0,12.8,72.4,61.09,49.33
Kurdamir district,district,2017,36.99,29.02,33571.0,28522.0,12975.0,48.1,42834.0,25.4,69.7,50.8,50.08
Kurdamir district,district,2018,40.59,30.79,33025.0,28607.0,10131.0,48.7,43265.0,23.7,66.7,55.23,51.68
Kurdamir district,district,2019,47.52,32.67,33154.0,28881.0,10234.0,48.4,44842.0,12.4,57.3,54.96,52.36
Kurdamir district,district,2020,48.65,38.13,32580.0,28832.0,10265.5,48.5,44894.0,10.2,31.2,54.82,51.49
Kurdamir district,district,2021,48.76,38.36,32790.0,29305.0,9269.0,48.4,46468.0,15.1,30.1,56.09,51.46
Kurdamir district,district,2022,51.7,46.19,31102.0,28058.0,8888.0,48.4,47734.0,5.1,18.8,60.21,56.64
Kurdamir district,district,2023,56.55,50.64,30080.0,27277.0,8784.0,48.4,48331.0,10.9,15.1,69.62,60.56
Kurdamir district,district,2024,59.63,52.68,27620.0,25250.0,8712.0,48.4,48072.0,9.0,17.8,70.49,63.65
Lachin district,district,2000,,,9847.0,7489.0,,,7887.0,,,,
Lachin district,district,2001,,,9894.0,7393.0,,,9187.0,,,,
Lachin district,district,2002,,,10308.0,7997.0,95.0,,11026.0,,,,
Lachin district,district,2003,,,10574.0,8298.0,259.0,,11781.0,,,,
Lachin district,district,2004,,,11118.0,8800.0,437.0,,12007.0,,,,
Lachin district,district,2005,,15.44,11301.0,9036.0,477.0,47.6,5045.0,2.2,7.4,22.45,18.0
Lachin district,district,2006,,,12391.0,10010.0,522.0,,9047.0,,,,
Lachin district,district,2007,,,12657.0,10326.0,1205.0,,10037.0,,,,
Lachin district,district,2008,,23.85,13085.0,10874.0,1379.0,44.4,11391.0,20.0,25.0,30.0,30.0
Lachin district,district,2009,,28.96,14210.0,11798.0,2123.0,48.0,11907.0,-6.3,10.1,32.42,32.07
Lachin district,district,2010,,33.0,16369.0,13953.0,1462.0,48.0,12789.0,16.1,-5.3,42.4,32.0
Lachin district,district,2011,,31.76,16700.0,14023.0,1325.0,,13095.0,,8.8,,34.6
Lachin district,district,2012,,29.65,16724.0,14220.0,1608.0,,13927.0,,0.5,,29.7
Lachin district,district,2013,,30.43,16562.0,14428.0,1547.0,,13946.0,,4.4,,29.6
Lachin district,district,2014,,37.5,16936.0,15140.0,1782.0,,22140.0,,26.7,,63.33
Lachin district,district,2015,,60.0,17074.0,15489.0,1989.0,,20350.0,,,,
Lachin district,district,2016,,,17043.0,15602.0,1887.0,,20554.0,,,,
Lachin district,district,2017,,,15048.0,13770.0,1463.0,,19846.0,,,,
Lachin district,district,2018,,,14767.0,13732.0,1837.0,,15610.0,,,,
Lachin district,district,2019,,,14679.0,13645.0,1224.0,,15374.0,,,,
Lachin district,district,2020,,,14433.0,13508.0,910.2,,15180.0,,,,
Lachin district,district,2021,,,18852.0,17919.0,752.2,,15117.0,,,,
Lachin district,district,2022,,,18361.0,17355.0,709.0,,19882.0,,,,
Lachin district,district,2023,,,18652.0,17699.0,709.0,,23086.0,,,,
Lachin district,district,2024,,,18705.0,17648.0,761.0,,23537.0,,,,
Lankaran district,district,2000,,,13617.0,13368.0,45.0,,16754.0,,,,
Lankaran district,district,2001,,,14230.0,13886.0,56.0,,18118.0,,,,
Lankaran district,district,2002,,,14964.0,14627.0,20.0,,16461.0,,,,
Lankaran district,district,2003,,,16827.0,16334.0,,,18307.0,,,,
Lankaran district,district,2004,,,18149.0,17674.0,1.0,,21262.0,,,,
Lankaran district,district,2005,16.93,13.55,18191.0,17853.0,,48.2,22298.0,6.9,,18.03,
Lankaran district,district,2006,,,18945.0,18515.0,43.0,,23235.0,,,,
Lankaran district,district,2007,,,19060.0,18674.0,50.0,,24235.0,,,,
Lankaran district,district,2008,24.31,17.84,21291.0,20619.0,189.0,42.8,25297.0,3.3,22.6,26.9,25.0
Lankaran district,district,2009,31.64,31.0,21204.0,20630.0,432.0,48.0,26410.0,3.6,15.0,34.33,36.55
Lankaran district,district,2010,45.79,35.47,21674.0,21324.0,1343.0,47.9,27976.0,,,23.0,
Lankaran district,district,2011,35.71,31.34,22555.0,22219.0,1194.0,47.7,28983.0,,,41.4,
Lankaran district,district,2012,32.24,33.62,23304.0,23043.0,482.0,47.9,30152.0,4.3,27.3,38.73,
Lankaran district,district,2013,27.48,34.04,23834.0,23513.0,489.0,48.2,31208.0,5.8,,29.1,
Lankaran district,district,2014,33.3,32.08,24070.0,23640.0,479.0,48.4,31893.0,1.9,,33.93,
Lankaran district,district,2015,35.43,33.82,24088.0,23661.0,597.0,48.5,32885.0,5.4,,38.33,
Lankaran district,district,2016,39.07,34.34,23839.0,23426.0,873.0,48.6,33419.0,4.1,,42.84,
Lankaran district,district,2017,45.52,,23504.0,23002.0,929.0,49.2,33790.0,5.9,,47.02,
Lankaran district,district,2018,43.13,,23953.0,23530.0,609.0,49.2,34089.0,5.1,,43.45,
Lankaran district,district,2019,41.37,41.43,24316.0,23866.0,522.0,49.4,34785.0,6.1,5.1,44.12,43.76
Lankaran district,district,2020,44.33,54.02,24510.0,24075.0,456.0,49.3,34936.0,3.9,14.2,46.07,61.67
Lankaran district,district,2021,53.73,56.3,24765.0,24407.0,441.0,49.3,35210.0,10.0,7.7,64.61,60.99
Lankaran district,district,2022,68.04,59.11,25064.0,24654.0,292.1,49.2,35660.0,7.9,11.1,70.7,67.01
Lankaran district,district,2023,70.92,62.97,24925.0,24519.0,256.6,49.2,36440.0,6.4,8.3,78.04,67.63
Lankaran district,district,2024,72.0,77.01,25326.0,24841.0,155.1,3.3,37003.0,3.1,9.3,82.03,86.32
